CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
711338058,0,45,1,1,6,1,4,0,33,6,3,2,1438.3,1201,237.3,0.749,4851,86,0.72,0.835
718451133,0,48,0,2,2,2,2,0,40,4,5,4,14951.0,1413,13538.0,0.784,3899,68,1.061,0.095
713941158,0,47,1,1,3,3,4,0,36,6,5,1,5222.0,2517,2705.0,0.569,4433,81,0.588,0.482
714069858,0,53,0,3,2,1,2,0,36,4,3,2,3539.0,2517,1022.0,0.569,1677,45,0.5,0.711
767294658,1,56,0,2,0,2,0,0,50,2,2,3,16867.0,0,16867.0,0.885,654,14,0.4,0.0
715146558,1,34,1,2,0,1,4,0,36,1,3,2,1696.0,0,1696.0,0.782,2325,56,0.556,0.0
712817808,0,39,0,2,2,1,2,0,23,5,2,1,4761.0,1561,3200.0,0.69,2045,53,1.65,0.328
709804533,0,40,0,4,5,2,0,0,34,3,1,3,17818.0,1451,16367.0,0.632,3973,74,0.451,0.081
718941183,0,48,1,1,0,1,4,0,38,5,2,2,1832.0,748,1084.0,0.879,4376,87,0.812,0.408
712365483,0,51,0,1,2,2,2,0,43,5,2,4,9619.0,1731,7888.0,0.712,3690,76,0.52,0.18
716138958,0,50,1,1,5,1,4,0,33,6,4,4,3160.0,1180,1980.0,1.0,3740,68,0.7,0.373
715942683,0,32,1,3,2,2,4,0,36,3,1,3,3555.0,0,3555.0,0.813,2346,71,0.651,0.0
716304483,0,46,1,3,3,1,1,0,36,3,2,3,3413.0,2372,1041.0,0.7,5029,86,0.792,0.695
709368483,0,56,0,2,2,1,1,0,45,5,2,1,1438.3,0,1438.3,0.913,4323,77,0.571,0.0
796544133,0,54,0,1,0,2,0,0,48,1,3,1,2456.0,1654,802.0,0.565,4468,84,0.75,0.673
793560033,0,47,1,3,5,2,5,3,33,2,2,3,34516.0,1930,32586.0,0.93,16369,125,0.736,0.056
713937558,0,54,1,2,3,1,1,0,36,3,3,3,3892.0,0,3892.0,0.738,4318,74,0.762,0.0
807030858,0,51,0,4,3,2,0,0,46,6,3,3,34516.0,2274,32242.0,0.788,1795,47,0.679,0.066
709269708,0,45,0,4,2,2,0,2,34,2,2,1,34516.0,1488,33028.0,0.732,7281,95,0.532,0.043
713567958,0,54,1,3,0,2,4,0,36,4,4,2,2957.0,1408,1549.0,0.667,4280,82,0.783,0.476
720007383,1,41,1,2,6,2,5,0,28,2,1,3,4411.0,2517,1894.0,0.988,803,15,0.875,0.571
708514383,0,38,1,2,0,1,5,0,29,2,1,0,3809.0,1172,2637.0,0.9,4314,81,0.976,0.308
714118383,0,49,1,5,2,1,4,0,43,4,2,3,8154.0,0,8154.0,0.964,2223,72,0.946,0.0
716819958,0,60,0,2,2,1,2,0,50,3,1,2,9033.0,845,8188.0,0.663,1661,35,0.4,0.094
711357858,1,47,1,3,2,2,4,0,36,5,3,4,7246.0,0,7246.0,0.612,777,13,0.625,0.0
717096858,0,51,0,2,1,2,1,0,40,4,3,3,6492.0,719,5773.0,0.711,4828,78,0.529,0.111
708553008,0,38,1,1,3,2,1,0,36,1,2,3,2148.0,1103,1045.0,0.602,4711,64,0.882,0.514
772409733,0,39,1,3,3,0,1,0,28,4,1,3,3400.0,2307,1093.0,0.901,4742,90,0.698,0.679
712125258,1,46,0,4,3,1,0,0,30,3,3,3,2442.0,0,2442.0,0.98,701,19,0.727,0.0
719740983,0,44,1,1,6,0,4,3,34,1,1,3,13259.0,866,12393.0,0.81,8998,102,0.672,0.065
771228183,0,30,1,0,2,0,4,0,17,4,1,3,4704.0,0,4704.0,1.177,3294,87,0.891,0.0
764316708,0,30,1,1,3,2,4,0,23,3,2,2,3955.0,2352,1603.0,0.779,16423,109,0.758,0.595
780545133,0,49,0,3,2,2,3,0,36,2,3,1,4557.0,985,3572.0,0.592,7333,91,0.596,0.216
714547458,0,65,0,0,2,1,1,0,56,3,3,2,2297.0,0,2297.0,0.511,1941,51,0.417,0.0
713904708,0,40,1,3,2,1,4,0,36,6,1,3,7582.0,1942,5640.0,0.823,4926,85,0.635,0.256
816084333,0,42,0,2,6,2,0,1,37,5,2,2,34516.0,1230,33286.0,0.72,3260,63,1.1,0.036
716811483,0,30,1,2,5,1,4,0,24,4,2,1,2063.0,0,2063.0,0.553,1859,43,0.536,0.0
711013983,1,55,1,4,6,1,1,0,45,2,4,3,2158.0,0,2158.0,0.585,615,12,0.714,0.0
716961933,0,43,1,2,2,1,4,0,36,5,2,4,3589.0,1808,1781.0,0.75,4262,70,0.667,0.504
713933658,0,56,1,0,2,2,4,0,45,3,6,2,2463.0,1621,842.0,0.568,4118,70,0.591,0.658
719084358,1,55,1,1,2,1,4,0,46,6,4,3,4232.0,0,4232.0,0.878,2312,37,0.609,0.0
716468658,0,51,1,2,6,2,4,0,36,3,1,3,3537.0,0,3537.0,0.647,4101,80,0.702,0.0
827100333,0,49,1,3,3,1,4,0,45,3,3,2,1438.3,726,712.3,0.657,5208,93,0.755,0.505
828288333,0,50,0,0,5,1,2,0,46,4,1,3,3640.0,659,2981.0,0.938,3756,70,0.842,0.181
808681158,0,57,0,0,2,1,3,0,52,4,6,4,2564.0,2379,185.0,0.358,1343,35,0.296,0.928
714493983,0,57,1,2,2,1,1,0,47,5,2,2,4682.0,1010,3672.0,0.638,4322,83,0.694,0.216
771097683,1,43,0,2,3,2,0,0,30,1,2,2,10896.0,2517,8379.0,1.028,4935,58,0.487,0.231
719987733,1,51,1,3,6,2,1,0,38,3,3,3,5026.0,0,5026.0,0.564,1844,37,0.609,0.0
719819958,0,34,0,2,5,1,1,0,26,5,1,4,1438.3,708,730.3,1.212,2243,43,0.483,0.492
802867683,0,53,1,2,3,2,1,0,47,5,2,3,1536.0,728,808.0,0.604,4133,78,0.529,0.474
715192308,0,48,0,2,3,1,0,0,36,6,5,2,29963.0,2094,27869.0,0.648,1205,28,0.867,0.07
821837958,0,43,0,3,0,3,3,0,39,3,3,1,24850.0,1662,23188.0,0.693,1226,25,0.923,0.067
720916683,0,41,0,3,2,2,3,0,26,4,3,2,11806.0,1811,9995.0,0.754,1465,31,0.476,0.153
825767658,0,49,0,2,2,2,2,1,45,2,3,1,34516.0,913,33603.0,0.698,7711,80,0.86,0.026
720212508,0,51,1,1,2,2,4,0,37,4,3,4,4402.0,697,3705.0,0.7,3325,76,0.652,0.158
720165258,0,44,1,2,3,3,4,0,29,2,3,1,3170.0,2330,840.0,0.858,5357,91,0.978,0.735
717190533,0,49,0,4,3,1,2,0,36,6,3,2,12938.0,661,12277.0,0.725,1282,32,0.778,0.051
711285633,0,33,1,0,6,2,5,0,36,6,1,3,2735.0,1769,966.0,1.465,3306,71,0.972,0.647
